,Authors,Year of Publication,Title,Author Keywords,KeyWords Plus,Abstracts,ISO-4 Journal Abbreviation
1061,"ZUNDORF, L",2003,The world-system of oil. A theoretical and empirical sketch,capitalism; market regulation; center; periphery; countervailing power; world economy of oil,DEVELOPING-COUNTRIES; TOBACCO; ECONOMY; TRADE,"This is an attempt at formulating, on a theoretical and empirical basis, construction principles and patterns of change of the ""world economy of oil"". This term refers to a loose and variable configuration of nation states, multinational corporations, the ""Organization of Petroleum Exporting Countries"" (OPEC) and a set of market regulations related to the production, distribution and consumption of oil on a worldwide scale. The main argument links together four interrelated and partially overlapping functional processes: (1) capitalism as a profit-oriented, innovative and expansive economic principle; (2) incorporation of the external oil deposits by the governments and corporations of the central industrial nations; (3) the emergence of countervailing power within the peripheral, oil-exporting countries in order to gain control over their oil resources and to change the unequal exchange relations with the capitalist centers; (4) change of the integration mode of the ""world-economy of oil"" based on a new balance of interests between centers and peripheries following severe economical and political crises. The analysis is concluded with a functional-cyclical model of the world economy of oil.",Koln. Z. Soziol. Sozialpsych.
1066,"PRANDY, K; LAMBERT, P",2003,"Marriage, social distance and the social space: An alternative derivation and validation of the Cambridge Scale",Cambridge Scale; CAMSIS; social distance; social interaction; stratification,CROSS-CLASSIFIED DATA; OCCUPATIONS; WOMEN; STRATIFICATION; REPRODUCTION; ASSOCIATION; MOBILITY; MODELS,"There is a danger that the Cambridge Scale, which is based on data collected thirty years ago, is becoming out of date. This article considers an alternative basis for a social interaction-based social distance scale, that of marriage (or cohabitation) rather than friendship. This has considerable advantages in terms of the ready, low-cost availability of large-scale, representative data (usually from a census). It also makes easily possible the construction of comparable scales for many other countries. The article discusses the theoretical background to the approach and the justification for expecting that marriage and friendship would reflect equivalent structures of stratification arrangements. In order to provide direct comparability, a new scale was constructed, based on 1971 census data and using more satisfactory statistical techniques. Empirical analyses using this measure fully support the argument that this alternative method of deriving a scale leads to essentially the same results as the original. The way is therefore open for an updating of the scale and its extension to a number of other countries, under the generic heading of CAMSIS.",Sociol.-J. Brit. Sociol. Assoc.
1067,"MAUTHNER, NS; DOUCET, A",2003,Reflexive accounts and accounts of reflexivity in qualitative data analysis,data analysis; epistemology; methodology; methods; ontology; qualitative research; reflexivity,PERSPECTIVE; DEPRESSION; FEMINISM; WOMEN,"While the importance of being reflexive is acknowledged within social science research, the difficulties, practicalities and methods of doing it are rarely addressed. Thus, the implications of current theoretical and philosophical discussions about reflexivity, epistemology and the construction of knowledge for empirical sociological research practice, specifically the analysis of qualitative data, remain underdeveloped. Drawing on our doctoral experiences, we reflect on the possibilities and limits of reflexivity during the interpretive stages of research. We explore how reflexivity can be operationalized and discuss reflexivity in terms of the personal, interpersonal, institutional, pragmatic, emotional theoretical epistemological and orthological influences on our research and data analysis processes. We argue that data analysis methods are not just neutral techniques. They reflect and are imbued with, theoretical, epistemological and ontological assumptions - including conceptions of subjects and subjectivities, and understanding of how knowledge is constructed and produced. In suggesting how epistemological and ontological positionings can be translated into research practice, our article contributes to current debates aiming to bridge the gap between abstract epistemology discussions and the nitty-gritty of research practice.",Sociol.-J. Brit. Sociol. Assoc.
1068,"NEWTON, T",2003,"Crossing the great divide: Time, nature and the social",constructionism; critical realism; Elias; nature; pace; time,SOCIOLOGY; SEQUESTRATION; CAUSALITY; SCIENCE; DEATH,"This article addresses perceived difference in temporal pace within nature and considers how epistemological debate is conditioned by such difference, drawing on the work of Norbert Elias. The first part of the article debates the equivalence of 'natural-time' and 'social time'. The acceleration of human social pace is also explored, along with the human capacity for plasticity and change and the contrast which such plasticity presents in relation to the seeming longevity of many natural processes. The epistemological implications of these arguments are considered in the second part of the article, focusing on the difficulties which human plasticity creates for current social theory (with particular attention on to critical realism). In the final part of the article, the foregoing discussion is used to re-evaluate sociologies of nature through reference to the sociology of the body.",Sociol.-J. Brit. Sociol. Assoc.
1069,"BUTT, T; LANGDRIDGE, D",2003,The construction of self: The public reach into the private sphere,agency; discourse analysis; Merleau-Ponty; private; public; self,SOCIOLOGICAL THOUGHT; MEANINGS,"The public/private debate has not been a major feature in recent sociological theory. However, Baily (2000) has argued for a renewed sociological research programme to focus on the sociological private. He outlines three dimensions of this: intimate relationships, the self and the unconscious. This article seeks to address two of these dimensions, the production of the self-theories and unconscious disavowal. We extend this theorizing to account for the experience of sexual engagement, and present a discourse analysis of the diaries of the comedian and actor Kenneth Williams (1928-1988). Drawing principally on the thought of Merleau-Ponty (1962) we argue that our analysis demonstrates the importance of a pre-reflective engagement with the social world that is then reflected on in internal dialogue. We show how discourse analysis may be used to demonstrate the discursive production of a self-theory and the role of such a self-theory in the disavowal of the principal's pre-reflective engagement with others.",Sociol.-J. Brit. Sociol. Assoc.
1071,"WALBY, S",2003,The myth of the nation-state: Theorizing society and polities in a global era,difference; globalization; nation-state; polities; theory,GLOBALIZATION; EUROPE,"The analysis of globalization requires attention to the social and political units that are being variously undermined, restructured or facilitated by this process. Sociology has often assumed that the unit of analysis is society, in which economic, political and cultural processes are coterminous, and that this concept maps onto that of nation-state. This article argues that the nation-state is more mythical than real. This is for four reasons: first, there are more nations than states; second, several key examples of presumed nation-state are actually empires; third, there are diverse and significant polities in addition to states, including the European Union and some organized religions; fourth, polities overlap and rarely politically saturate the territory where they are located. An implication of acknowledging the wider range and overlapping nature of polities is to open greater conceptual space for the analysis of gender and ethnicity in analyses of globalization. Finally the article re-conceptualizes 'polities' and 'society'.",Sociol.-J. Brit. Sociol. Assoc.
1077,"GINN, J",2003,"Parenthood, partnership status and pensions: Cohort differences among women",caring; cohort differences; martial status; motherhood; pensions,GENDER; EMPLOYMENT; PATTERNS,"Research on the balance of welfare provision between state and market has in the past ignored gender, and more recent feminist analysis has barely explored how changing gender roles over time interact with shifts in pension policy. The loosening link between marriage and motherhood poses questions for pension systems still largely based on the male breadwinner model of pension provision for carers. This article uses data from the General Household Surveys to examine how patterns of employment and private pension disadvantage according to marital and maternal status differ between earlier and later generations of women in Britain. The private pension premium attached to never married status among women aged over 65 is found to diminish in later generations. It is argued that cross-subsidies in state and private pension schemes in favour of married women may be less appropriate than in the past and that better means of compensating women for periods of caring can be found.",Sociol.-J. Brit. Sociol. Assoc.
1080,"VON GOSTOMSKI, CB",2003,"Violence as a reaction to lack of recognition? Male adolescents of Turkish descent, late migrants from Russia and Poland and native Germans",violence; adolescents; theory of disintegration; lack of recognition; survey; multivariate logistic regression,DELINQUENCY,"Violence between adolescents is primarily a male phenomenon. For this reason, the analysis of violent behavior focuses on 4.213 male adolescents from three different backgrounds: adolescents of Turkish descent, late migrants from Russia and Poland (Aussiedler) and native Germans. They all are attending schools (10th grade) in Northrhine-Westfalia, Germany. The data have been provided by the Youth-Survey 2001 of the Institute for Interdisciplinary Research on Conflict and Violence (IKG). The theoretical framework is provided by the theory of disintegration developed at the IKG. In comparison to Germans, Turkish adolescents show a higher rate of violence. The bivariate effect of Turkish descent on violent behavior can in multivariate logistic regression analysis partly be explained by a lack of recognition at the institutional and at the socio-structural dimensions of integration: In comparison to Germans, Turkish adolescents experience more discrimination, both in their daily life and in their school career. Those German adolescents and late migrants who suffer from a comparable degree of discrimination show similar patterns of violent behavior. Lack of recognition at the socio-emotional dimension (i.e. the relationship with the parents) have a smaller effect on violent behavior. In sum, especially the accumulation of deficits at different dimensions of integration in Germany heightens the risk for violent action.",Koln. Z. Soziol. Sozialpsych.
1081,"SALENTIN, K; WILKENING, F",2003,"Foreigners, naturalized people and the problems of a realistic integration stock-taking",immigration; naturalization; integration; labor market; income; education; language proficiency,GERMANY,"The use of the legal term ""foreigner"" in German official statistics and in sociological research on migration and integration is questioned. During the 1990s, naturalization has created a gap between the numbers of migrants and of foreigners. Legal and administrative factors cause an unobserved selectivity in the process of naturalization and increasingly blur the meaning of citizenship for social science purposes. Drawing on two German survey samples, the article reveals a considerably more favorable socio-economic placement of naturalized persons compared with foreigners of the same origin. Any stock-taking based on foreigners alone would exclude the most successful migrants in terms of education, labor market participation and income, and depict the participation of the immigrated population as overly deficient. An appropriate representation of naturalized people in official statistics is called for.",Koln. Z. Soziol. Sozialpsych.
1082,"SCHOEN, H",2003,Do election campaigns strenghten the effect of social position on party preference?,campaign effects; party preference; political communication; voting; partisan effect; religious voting; cleavage structure,INDIVIDUALIZATION; HYPOTHESIS; ATTITUDES; OUTCOMES; CONTEXT; CHOICE; CYCLE,"Does the well-known effect of social position on party preference depend on the distance to election day? Based on findings on campaign effects, it is argued that the effect of social position on party preference could vary over time, especially it may react on changes in political communication in campaign phases: parties appeal to their social bases, and therefore the effect of social position on party preference may rise in election campaigns; furthermore, this means that throughout a parliamentary term the partisan effect of social position should first weaken and later rise again. These hypotheses are tested empirically against trend data (Politbarometer) and panel data covering the German federal elections 1972 to 1998. Empirically, however, the core hypotheses are rejected: the structuring effect of social position is almost constant throughout parliamentary terms. Hence, federal election campaigns in Germany do not strengthen the partisan effect of social position substantially.",Koln. Z. Soziol. Sozialpsych.
1083,"HUFKEN, V; SCHAFER, A",2003,The influence of interviewers' voices and persuasion strategies in telephone surveys,telephone survey; interviewer; participation; persuasion strategy; vocal attribute; tailoring,REFUSAL RATES; NONRESPONSE,"The interviewers' voice, manner, personal characteristics and persuasion strategies are related to participation in telephone interviews. A comparison of groups reveals that the interviewer's manner and personal characteristics lead to higher influence to participate than the interviewers' voice. Vocal attributes are intercorrelated with personality. In addition, considerable differences were found in multivariate correlations between interviewers' voices on the one hand and personal characteristics on the other hand. Only three characteristics have significant effects: enthusiastic, personal speech and rate of speaking. Some other results of the persuasion strategies are: repeating of the recipient's arguments, tailoring and the formulation of different arguments. The findings point to the importance of a training program for interviewers.",Koln. Z. Soziol. Sozialpsych.
1085,"BOTTERO, W; PRANDY, K",2003,Social interaction distance and stratification,social distance; social interaction; stratification; social space,OCCUPATIONAL-MOBILITY; CAMBRIDGE-SCALE; WOMEN; REPRODUCTION; HEALTH; MEN; 19TH-CENTURY; INEQUALITIES; REFLECTIONS; RETHINKING,"There have been calls from several sources recently for a renewal of class analysis that would encompass social and cultural, as well as economic elements. This paper explores a tradition in stratification that is founded on this idea: relational or social distance approaches to mapping hierarchy and inequality which theorize stratification as a social space. The idea of 'social space' is not treated as a metaphor of hierarchy nor is the nature of the structure determined a priori. Rather, the space is identified by mapping social interactions. Exploring the nature of social space involves mapping the network of social interaction patterns of friendship, partnership and cultural similarity - which gives rise to relations of social closeness and distance. Differential association has long been seen as the basis of hierarchy, but the usual approach is first to define a structure composed of a set of groups and then to investigate social interaction between them. Social distance approaches reverse this, using patterns of interaction to determine the nature of the structure. Differential association can be seen as a way of defining proximity within a social space, from the distances between social groups, or between social groups and social objects (such as lifestyle items). The paper demonstrates how the very different starting point of social distance approaches also leads to strikingly different theoretical conclusions about the nature of stratification and inequality.",Br. J. Sociol.
1088,"CHARLES, N; JAMES, E",2003,Gender and work orientations in conditions of job insecurity,job insecurity; gender; work orientation; paid work; family; identity,WOMENS EMPLOYMENT; MYTHS,"This paper explores women's and men's work orientations in conditions of job insecurity, arguing that it is time to move beyond essentalist conceptions of work orientations and central life interests in order to understand the significance of paid work in people's lives. Data from a qualitative study are presented which show that the significance of paid work and the priority given to home and work are affected by experiences of job insecurity, changing domestic circumstances and stage in the life cycle and that this is the case for both women and men. Conversely, the significance of paid work can affect how job insecurity is experienced and its impact on individuals and their families. The assumption that men's work orientations are homogeneous and that work is their central life interest is not supported by the findings presented here and it is argued that the significance of work in men's and women's lives is more variable than has hitherto been recognized. To capture this variability it is time to move away from the acrimony of the debate over women's work orientations and notions of a central life interest which underpin it.",Br. J. Sociol.
1089,"KHATTAB, N",2003,"Segregation, ethnic labour market and the occupational expectations of Palestinian students in Israel",students' expectations; residential segregation; Israel; Palestinians in Israel; ethnic labour market,STATUS ATTAINMENT PROCESS; HIGH-SCHOOL CONTEXT; EDUCATIONAL ASPIRATIONS; MINORITY UNEMPLOYMENT; SPATIAL MISMATCH; UNITED-STATES; INEQUALITY; BLACK; PARTICIPATION; ACHIEVEMENTS,"Using data from a large national representative survey of Palestinian high school students in Israel, this study examines the effect of the local tabour market and the internal ethnic/religious segregation between Muslims, Christians and Druze, on students' occupational expectations. The data, which were collected in spring 1997, consisted of two types, these being data regarding students, and data regarding schools. The findings show that despite the disadvantages of the Palestinian minority as a whole within Israeli society, students tend to develop high occupational expectations. While the general level of their expectations can be explained by their educational and residential segregation from the Jewish majority, the multi-level analyses suggests that the internal segregation facilitates differential access to socio-economic resources, which generate different levels of occupational expectations between students from various ethnic/religious groups. More specifically, the findings demonstrate that the social and economic differences between Muslims, Christians and Druze are playing a central role in determining students' expectations, acting as a mechanism to preserve social inequality. The gender dimension of the occupational expectations and the influence of the segregation between Palestinian and Jewish students, are also discussed.",Br. J. Sociol.
1096,"BOLTON, SC; BOYD, C",2003,Trolley dolly or skilled emotion manager? moving on from Hochschild's Managed Heart,cabin crew; emotional work; Hochschild,CUSTOMER; WORK; LABOR; ORGANIZATION; PERFORMANCE; STRATEGIES; WORKPLACE; HEALTH; SAFETY; PART,"This article examines emotion in organizations and the emotion skills organizational actors possess. While Hochschild's (1983) seminal work on emotional labour is perhaps one of the greatest contributions to our understanding of emotion in organizations, this article challenges key tenets of Hochschild's thesis and goes on to offer an evolved analysis of emotional labour and alternative conceptualizations of organizational emotionality. Using comparative data, this article depicts airline cabin crews as skilled emotion managers who are able to juggle and synthesize different types of emotion work dependent on situational demands of management and customers acts to further contradict Hochschild's claim regarding the transmutation of feelings.",Work Employ. Soc.
1097,"DUNCAN, S; EDWARDS, R; REYNOLDS, T; ALLDRED, P",2003,"Motherhood, paid work and partnering: values and theories",families; individualization; moral rationalities; paid work,LABOR,"The male breadwinner model, which dominated both policy assumptions and social ideals in the post-war welfare state, is incresaingly being supplanted by an adult worker family model. In this new model, both men and women are assumed to be primarily workers in the labor market, who as fathers and mothers pool their earned income in supporting children. In this article we assess this assumption. First, we examine the gendered moral rationalities of particular socail groups of partnered mothers, defined in terms of class, conventionally, ethnicity and sexuality, about how mothering is combined with paid work, and how time and labour is allocated with their partners. Second, in the light of this empirical research, we examine three leading approaches to understanding change and decision making in families new household economics individualization in late modernity, and post-modern moral negotiation. We conclude that both the empirical and theoretical assumptions of the adult worker model are severely limited.",Work Employ. Soc.
1098,"POLLERT, A",2003,"Women, work and equal opportunities in post-Communist transition",central eastern Europe; employment; equal opportunities; post-Communist; women; work,GENDER; EUROPE,"This article examines gender, work and equal opportunities (EO) in five central eastern European (CEE) candidates to an enlarged European Union (EU): the Czech Republic, Hungary, Pland, Slovenia and Slovakia. It demonstrates how cpitalist transition has eroded women's Communist economic and social legacy, and considers implications for EO of the EU enlargement process. Analysis of decline begins with an outline of women' position under Communism, showing both significant differences and advances. Post-transition is then examined in terms of the UN Gender Development Index, women's loss of social support, their decline in labour force participation and changes in employment and political representation. A limitation in available data is lack of information on unregulated employment and informal work-both major developments in CCE. The objective picture is the set against subjective responses to change - akey factor in gender EO prospects. Finally, developments in EO monitoring and enforcement agencies are reviewed, with the conclusion drawing these levels of enquiry together to access the possibilities of EU enlargement as a spur to greater commitment to gender equality in CEE.",Work Employ. Soc.
1099,"SEIBEL, W; RAAB, J",2003,Networks of persecution: On the measurement of division of labor and differentiation of power within the persecution apparatus during the holocaust,National Socialism; holocaust; persecution; network analysis; governance; polycracy,POLICY NETWORKS; FINAL-SOLUTION,"In the literature, the power structures during the rule of National Socialism are characterized as a more or less uncoordinated mix of administrative bodies, which often worked parallel to or even against each other. This structure has been widely labeled as ""Polycracy"" or even as ""Organized Chaos"". It is yet unknown, however, whether these characteristics intensified or mitigated the persecution of the Jewish population in Europe under Nazi rule. Also, an operationalization of the ""Polycracy"" concept and a subsequent measurement of these specific features of Nazi rule has yet to be done. In the article, the structure of the Nazi government and persecution apparatus is operationalized through division of labor and differentiation of power applying the network concept. These structural characteristics are then measured using quantitative network analysis. This is demonstrated by presenting the case of the persecution of ""converted Jews"" in the Netherlands from summer 1942 to spring 1943. In the conclusion, the potential of network analysis for holocaust research and the implications of the findings for the overarching questions in this research area are discussed.",Koln. Z. Soziol. Sozialpsych.
1101,"ESSER, H",2003,The meaning of models. Reply to Rohwer,theoretical model; rational choice theory; framing; frame selection; explanation; divorce,MARRIAGE; DIVORCE,"With the exception of an indeed important formal detail of the model of frame selection, the criticism of Rohwer both on the model itself and on the general approach to explain divorces is not comprehensible. Partly, it consists of even serious misinterpretations, which are due to the fact that the author is not familiar with important textual backgrounds or did not consider them. Partly, global accusations are being made, which are finally true for any approach, which has not yet solved all problems beforehand, including all current approaches in the research on divorce. Besides the correction of the misinterpretations of the model of frame selection and sociological explanations, this contribution particularly proposes a simple solution of the formal problem.",Koln. Z. Soziol. Sozialpsych.
1103,"FOLEY, JR",2003,"Mobilization and change in a trade union setting: environment, structures and action",case study; micromobilization; social movement theory; trade unions; women's,SOCIAL-MOVEMENTS,"This case study based on data collected from archival and interview sources, describes the variable efficacy over a 24-year period of a union based women's committee. A theoretical model was developed that identified enviornmental factors union and committee structures and committee characteristics as variables that might affect the committee's effectiveness. Outcomes of three types were considered: structural changes that would benefit women, increased female participation in union decision making and improved clauses in the collective agreement especially relevant to women. The study shows that while enviornmental factors and formal structures play an important role in achieving mobilization and change the actions of the Social Movement Organisation (SMO) itself and of all the parties potentially affected by the SMO, are equally critical. The social movement literature complements the industrial relations and feminist organisational literatures in explaining the processes involved in successful collective action.",Work Employ. Soc.
1106,"GOTTFRIED, H",2003,Temp(t)ing bodies: Shaping gender at work in Japan,aesthetic labor; embodiment; gender; Japan; temporary employment,LABOR,This article explores how gender is embodied and embedded in organizations. Organizational embodiment and gendered work are linked to new forms of labor market segmentation around aesthetic labor. The analysis makes visible the situated forms of body management and the productive modes of embodiment in a gender regime as ways of organizing and ordering masculinities and femininities in a valued hierarchy. A case study of temporary employment provided by a multinational temporary-help company situates the global in culturally local contexts of gendered work and employment conditions.,Sociol.-J. Brit. Sociol. Assoc.
1107,"PUNCH, S",2003,Childhoods in the majority world: Miniature adults or tribal children?,Bolivia; childhood culture; majority world; play; work,LABOR,"Drawing on ethnographic data from rural Bolivia and applying the theoretical approaches of the minority group child and tribal child (James et at., 1998), this article shows that majority world children integrate work, play and school,moving back and forth between child and adult-centered worlds. It argues that majority world children have largely been perceived in relation to their work, and that the overlapping arenas of their everyday lives tend to be ignored. A more holistic perspective which considers how they may combine work and school with play could be more appropriate for understanding children's childhoods.",Sociol.-J. Brit. Sociol. Assoc.
1109,"HAMMERSLEY, M",2003,'Analytics' are no substitute for methodology: A response to Speer and Hutchby,audio- and video-recording of data; conversation analysis; naturalism; reactivity,CONVERSATION ANALYSIS,"In their article in this issue, Speer and Hutchby argue that qualitative researchers' fears about the reactive effects of audio- or video-recording on the quality of data are misplaced. They claim that these fears stem from a methodological orientation which assumes that in order to study the world we must obtain data that are unaffected by the process of research that we should observe the social world as if through a one-way mirror. Yet, they point out, most research strategies do affect the data produced. So, the authors argue, qualitative researchers are faced with an intractable dilemma. the solution proposed is to abandon naturalism and to investigate those occasions, when people address the fact that their talk is being recorded, using a conversation analytic approach. In response to this I argue that a concern with reactivity does not imply commitment to any naive naturalism, and that the approach recommended by the authors does not avoid this methodological problem, unless one is prepared to accept that conversation analysis is the only legitimate form of social research a proposal for which the authors do not provide a convincing case.",Sociol.-J. Brit. Sociol. Assoc.
1110,"GLADNEY, AP; AYARS, C; TAYLOR, WC; LIEHR, P; MEININGER, JC",2003,Consistency of findings produced by two multidisciplinary research teams,adolescents; consistency; multidisciplinary teams; qualitative research; reliability; research methods; violence,GROUP DECISION-MAKING; QUALITATIVE RESEARCH; RULES; RELIABILITY,"This article examines the consistency of research findings between two multidisciplinary research groups, which conducted independent analyses of interviews with 63 middle school students about their beliefs related to violence. The question addressed by this methodological study was: Is the consensus process so robust that it transcends disciplines (i.e., individuals from different disciplines interacting in multidisciplinary teams) to produce consistent findings? One group analyzed transcripts of interviews. Another group analyzed audiotapes (without typed transcripts). In spite of the different methods used by the tow groups and differences in the structure of the descriptive outcomes of each groups analysis, the content of findings was consistent. This suggests that there was internal reliability even with the diverse disciplinary perspectives involved in the analysis and interpretation of data.",Sociol.-J. Brit. Sociol. Assoc.
1117,"HANK, K",2003,A multilevel analysis of regional influences on West German women's family formation in the years 1984 to 1999,family formation; marriage; fertility; multilevel analysis; German Socio-Economic Panel,NONMARITAL FERTILITY; MARRIAGE MARKETS; UNITED-STATES; TRANSITION; AGE; MODELS; ENTRY; NORMS; 1ST,"The role of regional influences at district level in the process of family formation is investigated for West-German women during the 1980s and 1990s. As a theoretical framework we suggest a multilevel model of sociological explanation. The empirical analysis of transition to first marriage and to the first and second child is based on micro-data from the German Socio-Economic Panel (GSOEP). The estimated discrete-time multilevel logit models suggest, first, that basically all regional heterogeneity in women's fertility behavior is due to differences in the respondents' individual characteristics - particularly marital status and age - while, secondly, there is a significant regional variation in women's marital behavior, which cannot be explained by population composition or by structural contextual effects. Thus, regional influences on fertility decisions do not have an autonomous quality, but are merely mediated through a latent contextual effect on the risk of entering first marriage, which we attribute to regional socio-cultural milieus.",Koln. Z. Soziol. Sozialpsych.
1118,"DEWILDE, C",2003,A life-course perspective on social exclusion and poverty,social exclusion; poverty; life course; longitudinal analysis; deinstitutionalization; welfare state,STATE,"This article assesses whether it is possible to reconceptualize the traditional research approaches to the relationship between poverty and the life cycle on the basis of different sociological perspectives on the life course found in the literature. While the family-cycle approach, which was originally formulated by Seebohm Rowntree (1902), is criticized for being static, descriptive, normative and inflexible, dynamic poverty research is mostly confined to the quantitative analysis of income trajectories, and thus offers only a partial solution to our problem. However, the life-course perspective allows us to combine the best elements of these traditional approaches and to reconceptualize them into a general framework for the study of social exclusion and poverty. To this end, three sociological perspectives on the life course are considered: the traditional North-American life-course perspective formulated by Elder (1974), the Continental institutional approach, and a combined approach which we label the 'political economy of the life course'. Drawing from these three perspectives, we propose a general framework of analysis and formulate hypotheses regarding the phenomena of social exclusion and poverty over the life course which can subsequently be empirically validated.",Br. J. Sociol.
1119,"PERETTI-WATEL, P",2003,Neutralization theory and the denial of risk: some evidence from cannabis use among French adolescents,risk denial; techniques of neutralization; risky behaviours; cannabis use; adolescence,UNREALISTIC OPTIMISM; BEHAVIOR; DRUG; ADULTHOOD; SMOKING; ALCOHOL; YOUTH,"In contemporary societies, risk culture and risk profiling lead to the stigmatization of unhealthy behaviours as 'risky'. Risk denial theory refers to a cognitive way to deal with risky behaviours and can be considered as an updated variant of Sykes and Matza's neutralization theory. People neutralize the 'risky' label using specific techniques that must be added to those previously enlisted by Sykes and Matza. This paper introduces and discusses three techniques of risk denial: scapegoating, self-confidence and comparison between risks. As it is usually defined and studied as a 'risky behaviour', cannabis use provides a relevant example to illustrate these types of risk denial, thanks to various ethnographic studies (including Becker's seminal work on marijuana smokers) and quantitative French data from the 1999 European School Survey on Alcohol and Other Drugs (ESPAD). In order to deny the 'risky' label, cannabis users scapegoat 'hard drugs' users, they emphasize their own ability to control their consumption personally, or they compare cannabis and alcohol risks. The paper concludes with suggestions for further analyses of risk denial.",Br. J. Sociol.
1120,"HIER, SP",2003,Risk and panic in late modernity: implications of the converging sites of social anxiety,risk society; moral panic; social anxiety; reflexivity; uncertainty; counter-modernity,SOCIETY,"Comparing moral panic with the potential catastrophes of the risk society, Sheldon Ungar contends that new sites of social anxiety emerging around nuclear, medical, environmental and chemical threats have thrown into relief many of the questions motivating moral panic research agendas. He argues that shifting sites of social anxiety necessitate a rethinking of theoretical, methodological and conceptual issues related to processes of social control, claims making and general perceptions of public safety. This paper charts an alternative trajectory, asserting that analytic priority rests not with an understanding of the implications of changing but converging sites of social anxiety. Concentrating on the converging sites of social anxiety in late modernity, the analysis forecasts a proliferation of moral panics as an exaggerated symptom of the heightened sense of uncertainty purported to accompany the ascendency of the risk society.",Br. J. Sociol.
1122,"BELL, DSA",2003,"Mythscapes: memory, mythology, and national identity",memory; mythology; nationalism; national identity; mythscape; history,POLITICS,"In this paper I seek to challenge the dominant modes of conceiving the relationship between memory and national identity, and in so doing offer analysts of nationalism an improved understanding of the dynamics of national identity formation. The concept of collective memory is invoked regularly in attempts to explain the pervasiveness and power of nationalism. I argue that the concept is misused routinely in this context, and instead I employ a 'social agency' approach to theorizing, whereby memory is conceived in a more limited and cogent manner. I argue that it is important to distinguish clearly between memory and mythology, both of which are essential to understanding national identity, for not only are the two concepts distinct, they can also act in opposition to each other. Following from this I introduce the notion of a 'mythscape', the temporally and spatially extended discursive realm in which the myths of the nation are forged, transmitted, negotiated, and reconstructed constantly. Through employing the idea of a mythscape we can relate memory and mythology to each other in a theoretically profitable way.",Br. J. Sociol.
1123,"VOAS, D",2003,Intermarriage and the demography of secularization,intermarriage; homogamy; secularization; baptism; Church of England; religious affiliation,HOMOGAMY; CANADA; TRENDS,"One way of measuring religious affiliation is to look at rites of initiation such as baptism. English statistics show that for the first time since the Church of England was founded, less than half the nation is Anglican on this criterion. The pattern of formal religious transmission changed during the Second World War. Previously christening was quasi-universal, and the Church of England was the preferred provider. By the end of the war baptism was evidently optional, and chosen principally by parents whose religious identities matched. Further analysis suggests that affiliation now tends to be lost following marriage to someone from a different religious background, though the USA differs from Europe in this respect. A demographic theory of advanced secularization is outlined that specifies a proximal cause for declining religious affiliation, and provides tools for predicting the changes to be expected over future decades. The theory also helps to explain why affiliation may fall most quickly where there is most religious diversity.",Br. J. Sociol.
1124,"DUNCAN, C",2003,Assessing anti-ageism routes to older worker re-engagement,ageism; anti-discrimination law; early exit; equal opportunities; older workers,ATTITUDES; EMPLOYMENT; EMPLOYERS,"Measures that challenge ageism in employment are among the most prominent policy approaches towards reversing the dramatic decline over the last two decades in the labour market participation of older workers in development economies. In Britain, such measures have evolved through three related phases: the business case' approach; equality routes, incorporating equal opportunities and diversity policies; and progress towards anti-age discrimination legislation. Discriminatory attitudes displayed by employers have been overemphasized in explaining early exit from the labour market. Paradoxically, targeting such prejudice and ignorance through the business case approach has narrowed the scope for challenging more covert forms of ageism in employment. Nor is age easily incorporated into equal opportunities and diversity agendas in effective ways. Moreover, legislation will need to depart significantly from the principles underlying voluntary approaches if it is to be successful. The ambiguity and fluidity of the ageism concept also allow scope for opportunistic responses on the part of labour market actors that can be detrimental to the interests of older workers and preoccupation with ageism may therefore act to impede progress towards more targeted co-ordinated and effective policy responses.",Work Employ. Soc.
1125,"CAREY, M",2003,Anatomy of a care manager,administrative care; budgets; de-skilling; new emergency service,LABOR,"The article considers the impact of the NHS and Community Care Act (1990) and the redefined role of 'care manager', upon social work. It draws from a three year ethnographic study of five area teams; one based in inner London and the others, including a hospital team, based in the north of England. Particularly it uncovers the considerable impact of intense bureaucracy, circumscribed budgets and the consequential removal of the care manager from the community. The article also questions any 'seamless service' in work with other professionals and raises doubts as to whether need is even being partially met. Care managers are rarely able to utilize the skills that they develop during the Diploma in Social Work course. Frustration is felt on behalf on staff in the area office, who are now working under considerable strain, with little recognition, within what resembles a new emergency service. It is hoped the article is able to draw attention to the consequences of the continued deskilling of social work and retrenchment of what little remains of welfare.",Work Employ. Soc.
1127,"SCHWARTZ, G",2003,Employment restructuring in Russian industrial enterprises: confronting a 'paradox',enterprise restructuring; labour market; labour market segmentation; post-socialist; Russian Federation; transition,PRIVATE-SECTOR,"Labour market developments in post-Soviet Russia have presented liberal economists with an apparent paradox: the absence of mass compulsory redundancies in the face of substantial collapse in output. The seemingly irrational 'labour hoarding' in Russian enterprises has been interpreted as either influenced by workers choosing a wage cut in exchange for job security, or enterprises resisting redundancies in order to obtain state funding or as a result of rent seeking firm behavior. However, systematic research on employment decision making in industrial enterprises presents another picture. By combining documentary sources with interviews conducted in six industrial enterprises in Russia, this article will suggest that the disproportionate correlation between employment and production decline lies in the fact that the acute technological and structural degradation of the post-Soviet economy has resulted in enterprise adjustment being made through demand for labour.",Work Employ. Soc.
